Gender,Height,Weight
Male,187.571423224488,109.720985110141
Male,174.706036276561,73.6227318518815
Male,188.239667695134,96.4975501535839
Male,182.196685144478,99.8095041897133
Male,177.499761487233,93.5986187645829
Male,170.822659847029,69.0422161541668
Male,174.71410637922,83.4282188476796
Male,173.605229399433,76.1903519491574
Male,170.228132143723,79.8001867279709
Male,161.179494705051,70.9416420117829
Male,180.836270998755,84.6425013947739
Male,181.96764500282,96.9512845510409
Male,164.50647599885,75.8076793232401
Male,175.97899804567,85.9312723075733
Male,175.87907986372,84.5650471410898
Male,171.81987403907,78.1026139789214
Male,183.942524230009,88.916962243456
Male,162.494787331495,78.4185590189409
Male,176.885752145371,84.3608352835112
Male,172.557452329184,82.7472681256152
Male,172.504227492304,78.9775925038872
Male,176.37617726482,89.6893909930641
Male,168.01879518063,67.6639361526894
Male,191.023172980122,103.764513592808
Male,172.448718700055,73.4849212251682
Male,173.08584330743,87.2456890245066
Male,175.487663829471,83.6583196302577
Male,184.914142531911,93.8156120955572
Male,171.24995539556,79.4756334889102
Male,173.980895006482,70.0085862757018
Male,174.290000797523,85.0516040007288
Male,188.045871359036,96.5743749258537
Male,181.68166873035,88.4650652729217
Male,175.717609192906,93.0696491714752
Male,176.726094008121,92.6072140065843
Male,178.81835937673,87.4994912097402
Male,175.45347476554,89.5790869369316
Male,170.671549138116,83.37518697059
Male,167.150581763524,74.3218769503439
Male,163.332637244561,73.9844917140065
Male,172.65481401708,78.0793298989566
Male,183.361141936402,88.0174432985204
Male,165.78667763106,76.4836607362972
Male,167.869050535732,73.116051478367
Male,171.476216649913,74.6885844847355
Male,178.066157088099,85.6936453309927
Male,173.359664559803,84.8491699770828
Male,183.318681154125,94.8328710669112
Male,175.716838351949,87.0961664282022
Male,185.090714773977,95.8632658174142
Male,164.547760764087,75.1201087432591
Male,178.266216714209,91.2046134746193
Male,173.968283642466,78.6637210215354
Male,171.020310437781,82.2850720626667
Male,170.156997969609,76.9916661750951
Male,168.908856746635,74.0758955650417
Male,173.616763881853,86.0510335482185
Male,179.767126038809,87.146293757443
Male,180.888446120456,89.9012377314945
